case_id,timestamp,activity,subject,object
59473,2024-08-03T18:10:42Z,add label to PR,typescript-bot,Author: Team
59473,2024-08-03T18:10:44Z,add label to PR,typescript-bot,For Backlog Bug
59473,2024-08-03T18:13:29Z,remove label from issue,ahejlsberg,Needs Investigation
59473,2024-08-03T18:13:29Z,add label to issue,ahejlsberg,Bug
59473,2024-08-03T18:13:37Z,add milestone to issue,ahejlsberg,TypeScript 5.7.0
59473,2024-08-03T21:46:57Z,commit changes,Andarist,e3f9169989481fed52a8d8fc69a2e80daf994f11
59473,2024-08-03T21:47:09Z,add label to issue,typescript-bot,Fix Available
59473,2024-08-05T15:37:30Z,review PR,ahejlsberg,52095
59473,2024-08-05T16:00:05Z,commit changes,Andarist,8645b94cd4fbfff4ce18345acf5f1745c28df752
59473,2024-08-06T12:37:59Z,commit changes,Andarist,dac6f7036b44b64163ce32367d533de2bef5da37
59473,2024-08-06T15:23:39Z,commit changes,Andarist,adee09fe97f04713fd9c3c7d37a615ceab0e9f10
59473,2024-08-06T17:54:15Z,review PR,ahejlsberg,52095
59473,2024-08-06T17:55:24Z,close PR,ahejlsberg,
59473,2024-08-07T10:01:27Z,commit changes,Andarist,e9502f976ec8db0703a6ae9e6e1a25a099a788b4
59473,2024-08-19T09:38:55Z,commit changes,Andarist,f96d66e66b992bad9a6d58254a3591d9e5277361
59473,2024-08-19T10:20:55Z,commit changes,Andarist,c0e99ae1cc9718f07c0b7c4afea7665bbb5f541c
59473,2024-08-19T10:25:17Z,commit changes,Andarist,f218b978b7cf8286e495179104a1017f45d314c7
59473,2024-08-19T17:28:58Z,review PR,gabritto,52095
59473,2024-08-19T21:14:14Z,close issue,gabritto,
6496,2016-01-15T03:25:09+00:00,create issue,kimamula,Duplicate type declarations with npm link
6496,2016-01-15T03:30:31Z,rename issue,kimamula,Private properties defined in an external npm package interrupt variable assignment
6496,2016-01-15T03:32:58Z,add label to issue,RyanCavanaugh,Bug
6496,2016-02-02T11:21:18Z,close issue,kimamula,
6496,2016-02-02T18:51:32Z,reopen issue,RyanCavanaugh,
6496,2016-02-04T20:50:34Z,add label to issue,mhegazy,Suggestion
6496,2016-02-04T20:50:34Z,remove label from issue,mhegazy,Bug
6496,2016-02-04T20:50:38Z,add label to issue,mhegazy,In Discussion
6496,2016-03-10T22:37:33Z,add label to issue,mhegazy,Typings
6496,2016-07-29T05:10:04Z,link PR to issue,david-driscoll,1853
60392,2024-11-01T21:33:41+00:00,create issue,jamiebuilds,rewriteRelativeImportExtensions and resolveJsonModule
60392,2024-11-01T23:14:01Z,add label to issue,RyanCavanaugh,Needs Investigation
60392,2024-11-01T23:14:07Z,assign user to issue,andrewbranch,andrewbranch
60392,2024-11-01T23:14:12Z,add milestone to issue,RyanCavanaugh,TypeScript 5.7.1
60392,2024-11-04T17:30:41Z,remove label from issue,andrewbranch,Needs Investigation
60392,2024-11-04T17:30:41Z,add label to issue,andrewbranch,Bug
60392,2024-11-04T17:48:51Z,commit changes,andrewbranch,33366d1a276ba5ac1e597ba99a575bf0eb3f57ff
60392,2024-11-04T17:50:10+00:00,create PR,andrewbranch,60415
60392,2024-11-04T17:50:11Z,link PR to issue,andrewbranch,60415
60392,2024-11-04T17:50:14Z,assign user to PR,andrewbranch,andrewbranch
60392,2024-11-04T17:50:15Z,add label to PR,typescript-bot,Author: Team
60392,2024-11-04T17:50:16Z,add label to PR,typescript-bot,For Milestone Bug
60392,2024-11-04T17:50:17Z,add label to issue,typescript-bot,Fix Available
60392,2024-11-04T17:52:06Z,request review for PR,andrewbranch,sandersn
60392,2024-11-05T19:18:27Z,request review for PR,andrewbranch,jakebailey
60392,2024-11-05T19:19:06Z,review PR,jakebailey,60415
60392,2024-11-05T20:50:18Z,merge PR,andrewbranch,
60392,2024-11-05T20:50:18Z,close PR,andrewbranch,
60392,2024-11-05T20:50:19Z,close issue,andrewbranch,
60392,2024-11-05T20:50:22Z,delete PR branch,andrewbranch,60415
59936,2024-09-10T20:47:03+00:00,create issue,burtek,Binding element incorrectly reported as having `any` type in JS with JSDoc starting with 5.6.2
59936,2024-09-10T20:47:52Z,link PR to issue,burtek,154
59936,2024-09-11T19:09:51Z,add label to issue,RyanCavanaugh,Bug
59936,2024-09-11T19:09:59Z,add milestone to issue,RyanCavanaugh,Backlog
59936,2024-09-15T21:15:39Z,commit changes,Andarist,b836d23fa5be6ad3458f41a08eec7e4ba068e931
59936,2024-09-15T21:16:13+00:00,create PR,Andarist,59975
59936,2024-09-15T21:16:14Z,link PR to issue,Andarist,59975
59936,2024-09-15T21:16:16Z,add label to PR,typescript-bot,For Backlog Bug
59936,2024-09-17T09:39:27Z,commit changes,Andarist,909bac282e05fafa4b0961f4465ee08b642c2450
59936,2024-09-17T09:39:53Z,rename PR,Andarist,Only pad initializer types for parameters without annotations and contextual signatures
59936,2024-09-24T22:46:48Z,request review for PR,jakebailey,ahejlsberg
59936,2024-09-27T13:47:53Z,commit changes,ahejlsberg,7c893fec0ea9ff2d9298f36937863a0ef24f5e67
59936,2024-09-27T14:01:04Z,commit changes,ahejlsberg,8ee94a9d401737b3ec9afa7a29737f81aa8aba4c
59936,2024-09-27T14:01:13Z,commit changes,ahejlsberg,39364eed3a1c30b417f17e314cd9aa22bfa46514
59936,2024-09-27T14:03:11+00:00,create PR,ahejlsberg,60083
59936,2024-09-27T14:03:13Z,link PR to issue,ahejlsberg,60083
59936,2024-09-27T14:03:15Z,assign user to PR,ahejlsberg,ahejlsberg
59936,2024-09-27T14:03:16Z,add label to PR,typescript-bot,Author: Team
59936,2024-09-27T14:03:17Z,add label to PR,typescript-bot,For Backlog Bug
59936,2024-09-27T14:03:32Z,request review for PR,ahejlsberg,jakebailey
59936,2024-09-27T14:41:17Z,close PR,Andarist,
59936,2024-09-27T18:50:57Z,commit changes,jakebailey,1c25b1a91ad1d4070238684dbad0d330ddd865e0
59936,2024-09-27T18:52:53Z,rename PR,jakebailey,Don't issue implicit any when obtaining the implied type for a binding pattern
59936,2024-10-01T04:38:48Z,review PR,jakebailey,60083
59936,2024-10-01T04:38:53Z,merge PR,jakebailey,
59936,2024-10-01T04:38:53Z,close PR,jakebailey,
59936,2024-10-01T04:38:55Z,close issue,jakebailey,
